objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
hguvid1,,-Eg_yrpjmlY&t=1s,,The Rebel,He Gets Us Youtube,2022,"positionality, rebel, AI, casuistic stretching",,,,,https://www.youtube.com/watch?v=-Eg_yrpjmlY&t=1s,,,Video,English,,
hguvid2,,94BqlDQ-Ppo,,Foot Washing,He Gets Us Youtube,2024,,,,,,https://www.youtube.com/watch?v=94BqlDQ-Ppo,,,Video,English,,
hguvid3,,rUUG3aXWiA0,,Dinner Party,He Gets Us Youtube,2021,,,,,,https://www.youtube.com/watch?v=rUUG3aXWiA0,,,Video,English,,
hguvid4,,2AW3SAS_iwE,,He Gets Us Presents: How Do You Talk to Your Neighbors,He Gets Us Youtube,2024,,,,,,https://www.youtube.com/watch?v=2AW3SAS_iwE,,,Video,English,,
hguvid5,,LzyrCD-XQ_g,,He Gets Us Presents: Who is Your Neighbor,He Gets Us Youtube,2024,,,,,,https://www.youtube.com/watch?v=LzyrCD-XQ_g,,,Video,English,,
hguvid6,,33usZMpke3k,,"Learning to say ""I was wrong""",He Gets Us Youtube,2024,,,,,,https://www.youtube.com/watch?v=33usZMpke3k,,,Video,English,,
hguvid7,,DylIFHJacV4&t=1s,,Jesus and the Woman at the Well,He Gets Us Youtube,2024,,,,,,https://www.youtube.com/watch?v=DylIFHJacV4&t=1s,,,Video,English,,
hguvid8,,gWplgR3t_Ck,,"Learning to say ""I love you""",He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=gWplgR3t_Ck,,,Video,English,,
hguvid9,,0lbInosyAp4,,"Learning to say ""I forgive you""",He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=0lbInosyAp4,,,Video,English,,
hguvid10,,2ED-zzewF1c,,"Learning to say ""Goodbye""",He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=2ED-zzewF1c,,,Video,English,,
hguvid11,,Whm_-aL9HmI,,Second Language,He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=Whm_-aL9HmI,,,Video,English,,
hguvid12,,YOcglZFlFM8,,Family Matters,He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=YOcglZFlFM8,,,Video,English,,
hguvid13,,BaxYRCzpxsQ,,He Gets Us Presents: Are You Rich,He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=BaxYRCzpxsQ,,,Video,English,,
hguvid14,,cl2fxQH50_8,,Unconditional: A True Story of Pure Love,He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=cl2fxQH50_8,,,Video,English,,
hguvid15,,hcmVa8uNu7k,,Love is Louder,He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=hcmVa8uNu7k,,,Video,English,,
hguvid16,,mluU_ZNPR0g,,"The Making of ""Refugee""",He Gets Us Youtube,2023,,,,,,https://www.youtube.com/watch?v=mluU_ZNPR0g,,,Video,"English, Spanish",,
hguvid17,,QEEq5VTfmic,,Refugee,He Gets Us Youtube,2022,,,,,,https://www.youtube.com/watch?v=QEEq5VTfmic,,,Video,English,,
hguvid18,,d-lcLDvR8mc,,The Physician,He Gets Us Youtube,2022,,,,,,https://www.youtube.com/watch?v=d-lcLDvR8mc,,,Video,English,,
hguvid19,,iPsp0jc3K8Y,,The Birth,He Gets Us Youtube,2021,,,,,,https://www.youtube.com/watch?v=iPsp0jc3K8Y,,,Video,English,,
